Anne Hathaway	None	0	1	0	0	0	0
Eileen Brady	Democrat	1	1	0	0	2	0
Georgia Restaurant Association	Organization	0	0	1	0	0	0
John Plumb	Democrat	1	0	0	0	0	0
Farouk Shami	Democrat	1	0	2	1	2	1
Critics of water fluoridation	None	0	0	0	0	0	1
Jeff Wagner	Talk show host	0	0	1	0	0	0
Kelly McGinn	Republican	0	0	0	0	1	0
Marcus Low	None	0	1	0	0	0	0
Ellyn Bogdanoff	Republican	0	0	1	1	1	0
Brad Wenstrup	Republican	0	0	0	0	0	0
Gene Green	Democrat	0	1	0	0	0	0
Reps. Keith Rothfus	 Mike Kelly and Bill ShusterRepublican	0	0	0	1	0	0
Brian Moran	Democrat	0	0	1	0	0	1
Julia Hurley	Republican	0	0	0	1	0	0
Mark Pryor	Democrat	0	1	0	2	0	0
Marijuana Policy Project	None	0	1	0	0	0	0
Kevin Kiley	Republican	1	0	0	0	0	0
Tom Udall	Democrat	0	0	0	0	0	0
City of Atlanta press release	None	0	0	0	0	0	0
Deval Patrick	Democrat	0	1	1	0	0	0
Bill Peduto	Democrat	0	1	0	0	0	0
Weston Pagano	Democrat	0	0	1	0	0	0
John Flanagan	Republican	0	1	0	1	0	0
Bobbie Richardson	Democrat	0	0	0	0	1	0
John Duncan	Republican	0	0	0	1	1	0
Pat Quinn	Democrat	0	0	1	0	0	1
John Podesta	Democrat	1	0	0	1	0	0
Young Conservatives	None	0	0	0	0	1	0
Steven Schale	Democrat	1	0	0	1	0	0
Viral image	None	4	13	34	51	565	258
Missouri Department of Economic Development	None	0	1	0	0	0	0
Joyce Krawiec	Republican	0	0	0	0	1	0
Lauren Boebert	Republican	0	0	0	0	2	1
Scott Randolph	Democrat	0	0	1	0	1	0
Fran Lebowitz	Democrat	0	0	0	0	1	0
Jim Sullivan	Democrat	0	0	2	1	2	0
Allen West	Republican	3	1	3	6	10	4
Team PAC	Organization	0	0	1	0	0	0
Katie Hobbs	Democrat	0	0	0	0	0	0
Thomas Norment, Jr.	Republican	0	0	0	0	1	0
